[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170a088282f8894899c3_%E6%9C%AA%E5%91%BD%E5%90%8D-1-21.png → 200 (407ms, 11512B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170a21acce33633c74a2_%E6%9C%AA%E5%91%BD%E5%90%8D-1-20.png → 200 (407ms, 48923B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170a7bf2779d49bf0410_%E6%9C%AA%E5%91%BD%E5%90%8D-1-25.png → 200 (407ms, 30254B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170a9057a27651675d2a_%E6%9C%AA%E5%91%BD%E5%90%8D-1-23.png → 200 (407ms, 22187B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170aee44104ff3db8175_%E6%9C%AA%E5%91%BD%E5%90%8D-1-24.png → 200 (408ms, 34876B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170b9057a27651675dcd_%E6%9C%AA%E5%91%BD%E5%90%8D-1-26.png → 200 (408ms, 15179B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed11e20971fc192afe1fb0_%E6%9C%AA%E5%91%BD%E5%90%8D-1-18.png → 200 (408ms, 144486B)
[2026-09-11T12:43:21.693Z] GET https://cdn.prod.website-files.com/669cf1428f8fffde32f7ebb1/66ed170af93665fd49a569ef_%E6%9C%AA%E5%91%BD%E5%90%8D-1-22.png → 200 (408ms, 34342B)
[2026-09-11T12:43:21.694Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (388ms, 28813B)
[2026-09-11T12:43:21.694Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (490ms, 233361B)
[2026-09-11T12:43:21.694Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (668ms, 656534B)
[2026-09-11T12:43:21.969Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-7LMZXWJHG0&gtm=45je6992v9256866295za200zd9256866295&_p=1789130601690&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1141962815.1789130602&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.6.0&uaw=0&ul=en-us&_s=1&tag_exp=115938466~115938469~118897920~118897930~120213116~120385422~120469145~120469153&sid=1789130601&sct=1&seg=0&dl=https%3A%2F%2Fpartner.giloo.ist%2F&dt=Giloo%20Impact%20Partner&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=641 → 204 (303ms, ?B)
[2026-09-11T12:43:22.057Z] GET https://partner.giloo.ist/assets/hero-still.webp → 200 (25ms, 192679B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/geist/v5/gyByhwUxId8gMEwcGFWNOITd.woff2 → 200 (296ms, 29416B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.102.woff2 → 200 (264ms, 63939B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.119.woff2 → 200 (369ms, 34728B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.118.woff2 → pending (?ms, ?B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.114.woff2 → 200 (370ms, 85199B)
[2026-09-11T12:43:22.058Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.113.woff2 → 200 (370ms, 71638B)
[2026-09-11T12:43:22.059Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.112.woff2 → pending (?ms, ?B)
[2026-09-11T12:43:22.059Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.117.woff2 → pending (?ms, ?B)
[2026-09-11T12:43:22.438Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9i1OCEKIfVZ1w.woff2 → pending (?ms, ?B)
[2026-09-11T12:43:22.441Z] GET https://partner.giloo.ist/tweaks-panel.jsx → pending (?ms, ?B)
[2026-09-11T12:43:26.983Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-7LMZXWJHG0&gtm=45je6992v9256866295za200zd9256866295&_p=1789130601690&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=1141962815.1789130602&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.6.0&uaw=0&ul=en-us&_s=2&tag_exp=115938466~115938469~118897920~118897930~120213116~120385422~120469145~120469153&sid=1789130601&sct=1&seg=0&dl=https%3A%2F%2Fpartner.giloo.ist%2F&dt=Giloo%20Impact%20Partner&en=scroll&epn.percent_scrolled=90&_et=12&tfd=5655 → 204 (40ms, ?B)
[2026-09-11T12:47:48.950Z] GET file:///Users/ruru/giloo-intro/index.html → 200 (3ms, 64444B)
[2026-09-11T12:47:49.003Z] GET https://fonts.googleapis.com/css2?family=Newsreader:opsz,wght@6..72,300;6..72,400;6..72,500;6..72,600&family=IBM+Plex+Sans:wght@400;500;600;700&family=Noto+Sans+TC:wght@300;400;500&display=swap → 200 (79ms, 100627B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/giloo-newsletter.png → 200 (5ms, 950923B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/giloo-notes2.png → 200 (5ms, 1218813B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/giloo-judicial.png → 200 (7ms, 1842630B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/giloo-festival-montage.png → 200 (7ms, 2305708B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/giloo-watchparty2.png → 200 (8ms, 1651973B)
[2026-09-11T12:47:49.004Z] GET file:///Users/ruru/giloo-intro/posters/kinmen.jpg → 200 (8ms, 39604B)
[2026-09-11T12:47:49.007Z] GET file:///Users/ruru/giloo-intro/posters/nineshots.jpg → 200 (5ms, 117566B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/posters/blackbox.jpg → 200 (4ms, 751190B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/giloo-belami-merch.png → 200 (4ms, 2515501B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/giloo-creator-profile.png → 200 (4ms, 597915B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/giloo-creator-film.png → 200 (4ms, 517391B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/giloo-creator-support.png → 200 (5ms, 147227B)
[2026-09-11T12:47:49.008Z] GET file:///Users/ruru/giloo-intro/giloo-partner-hero.jpg → 200 (5ms, 252558B)
[2026-09-11T12:47:49.199Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9AfjOCX1hbuyalUrK4397yjIJFJpc.woff2 → 200 (459ms, 131895B)
[2026-09-11T12:47:49.199Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (351ms, 40272B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-logo-white.png → 200 (1ms, 5717B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-logo.png → 200 (1ms, 13028B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-taipei-litfilm.png → 200 (2ms, 3029199B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-platform.png → 200 (2ms, 4001985B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-nuit-blanche.jpg → 200 (2ms, 1970773B)
[2026-09-11T12:47:49.199Z] GET file:///Users/ruru/giloo-intro/giloo-paris.png → 200 (2ms, 2070547B)
[2026-09-11T12:47:49.199Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.119.woff2 → 200 (3ms, -815B)
[2026-09-11T12:47:49.199Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9i1OCEKIfVZ1w.woff2 → 200 (3ms, -815B)
